MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST
GMC,3500 SAVANA PASSENGER VAN SWB,03,569,202,207,343,2367,91,291,54,99,146,101,124,173,172,53/47
GMC,ACADIA 4DR SUV FWD SLE/SLT1/SLT2,07,511,200,185,302,2142,106,207,41,89,114,98,111,171,170,55/45
GMC,CANYON CREW CAB S/BOX 2WD /SL,04,526,174,166,320,1702,128,268,42,79,103,86,120,152,153,57/43
GMC,CANYON CREW CAB S/BOX 4X4 /SL/SLE,04,526,174,173,320,1815,128,268,42,79,103,86,120,152,153,57/43
GMC,CANYON EXT CAB S/BOX 2WD /SL/SLE,04,526,172,165,320,1636,126,268,41,75,104,86,120,148,148,57/43
GMC,CANYON EXT CAB S/BOX 4X4 /SL/SLE,04,526,172,172,320,1725,126,268,41,75,104,86,120,148,148,57/43
GMC,CANYON REG CAB S/BOX 2WD /SL/SLE,04,487,172,165,282,1523,126,232,42,78,110,86,119,149,150,57/43
GMC,CANYON REG CAB S/BOX 4X4 /SL/SLE,04,487,172,172,282,1643,126,232,42,78,110,86,119,149,150,57/43
GMC,ENVOY 4DR SUV 4WD DENALI,02,487,189,183,287,2178,131,163,48,85,123,90,110,158,158,54/46
GMC,ENVOY 4DR SUV 4WD SLE/SLT,02,487,189,183,287,2060,131,163,48,85,123,90,110,158,158,54/46
GMC,SIERRA 1500 CREW CAB S/BOX 2WD,07,570,203,188,365,2335,131,293,46,86,133,100,105,174,171,58/42
GMC,SIERRA 1500 CREW CAB S/BOX 4X4,07,570,203,188,365,2416,131,293,46,86,133,100,105,174,171,58/42
GMC,SIERRA 1500 EXT CAB L/BOX 2WD,07,618,203,188,400,2367,131,340,46,86,133,100,117,174,171,58/42
GMC,SIERRA 1500 EXT CAB L/BOX 4X4,07,618,203,188,400,2454,131,340,46,86,133,100,117,174,171,58/42
GMC,SIERRA 1500 EXT CAB M/BOX 2WD,07,570,203,188,365,2233,131,293,46,86,133,100,105,174,171,58/42
GMC,SIERRA 1500 EXT CAB M/BOX 4X4,07,570,203,188,365,2389,131,293,46,86,133,100,105,174,171,58/42
GMC,SIERRA 1500 EXT CAB S/BOX 2WD,07,545,203,188,340,2209,131,268,46,86,133,100,105,174,171,58/42
GMC,SIERRA 1500 EXT CAB S/BOX 4X4,07,545,203,188,340,2370,131,268,46,86,133,100,105,174,171,58/42
GMC,SIERRA 1500 REG CAB L/BOX 2WD,07,556,203,188,338,2084,132,278,46,86,133,100,117,174,171,58/42
GMC,SIERRA 1500 REG CAB L/BOX 4X4,07,556,203,188,338,2189,132,278,46,86,133,100,117,174,171,58/42
GMC,SIERRA 1500 REG CAB M/BOX 2WD,07,508,203,188,302,2020,132,234,46,86,133,100,105,174,171,58/42
GMC,SIERRA 1500 REG CAB M/BOX 4X4,07,508,203,188,302,2122,132,234,46,86,133,100,105,174,171,58/42
GMC,SIERRA 2500HD CREW CAB L/BOX 2WD,07,644,203,198,426,N/A,132,366,46,86,133,100,117,174,171,N/A
GMC,SIERRA 2500HD CREW CAB L/BOX 4X4,07,644,203,198,426,N/A,132,366,46,86,133,100,117,174,171,N/A
GMC,SIERRA 2500HD CREW CAB M/BOX 2WD,07,596,203,198,391,2605,132,329,46,86,133,100,105,174,171,N/A
GMC,SIERRA 2500HD CREW CAB M/BOX 4X4,07,596,203,198,391,2714,132,329,46,86,133,100,105,174,171,N/A
GMC,SIERRA 2500HD EXT CAB L/BOX 2WD,07,618,203,198,400,2601,131,340,46,86,133,100,117,174,171,N/A
GMC,SIERRA 2500HD EXT CAB L/BOX 4X4,07,618,203,198,400,2724,131,340,46,86,133,100,117,174,171,N/A
