style,size,name,model_year, reg_years ,deaths_f25_65,total_deaths,death.rate,adj.death.rate,ci_l,ci_u
Sports,Large,Chevrolet Camaro convertible,2011," 148,566 ",0,10,67,51,19,83
Sports,Large,Chevrolet Camaro coupe,2011," 682,257 ",5,41,60,55,36,74
Luxury,Midsize,Total,2011," 2,823,516 ",7,52,18,17,12,22
Luxury,Midsize,Lexus CT 200h,2011," 149,224 ",0,0,0,0,0,25
Luxury,Midsize,Mercedes-Benz C-Class sedan 2WD,2011," 357,417 ",0,5,14,11,1,20
Luxury,Midsize,Audi A4 4WD,2011," 202,470 ",1,3,15,15,3,43
Luxury,Midsize,Volvo S60 2WD,2012," 128,950 ",1,2,16,16,2,56
Luxury,Midsize,BMW 328i,2012," 178,276 ",0,3,17,17,3,49
Luxury,Midsize,Acura TL 2WD,2011," 202,930 ",1,4,20,21,0,45
Luxury,Midsize,Mercedes-Benz C-Class sedan 4WD,2011," 285,137 ",2,6,21,25,2,48
Luxury,Midsize,Lexus ES 350,2013," 188,390 ",1,6,32,31,3,59
Luxury,Large,Total,2011," 2,227,626 ",9,42,19,19,13,26
Luxury,Large,Audi A6 4WD,2012," 101,164 ",0,0,0,0,0,36
Luxury,Large,BMW 535i/is 2WD,2011," 132,902 ",0,0,0,0,0,28
Luxury,Large,BMW 535xi 4WD,2011," 123,121 ",0,0,0,0,0,30
Luxury,Large,Mercedes-Benz E-Class sedan 2WD,2011," 255,357 ",0,1,4,4,0,22
Luxury,Large,Mercedes-Benz E-Class sedan 4WD,2011," 217,563 ",0,1,5,5,0,26
Luxury,Large,Hyundai Genesis sedan,2011," 198,610 ",1,3,15,15,3,44
Luxury,Large,BMW 528i 2WD,2011," 146,689 ",1,3,20,20,4,60
Luxury,VLarge,Total,2011," 579,757 ",2,12,21,20,7,33
Wagon,Mini,Total,2011," 596,466 ",6,38,64,61,39,83
Wagon,Mini,Ford Fiesta,2011," 289,281 ",3,19,66,63,31,95
Wagon,Mini,Hyundai Accent,2012," 160,157 ",2,10,62,63,18,108
Wagon,Small,Total,2011," 2,187,340 ",14,87,40,38,29,47
Wagon,Small,Mini Countryman 2WD,2011," 104,350 ",0,1,10,10,0,53
Wagon,Small,Subaru Impreza 4WD,2012," 245,970 ",0,3,12,12,3,36
Wagon,Small,Subaru XV Crosstrek 4WD,2013," 173,380 ",0,3,17,17,4,51
Wagon,Small,Ford Focus,2012," 658,354 ",6,29,44,45,26,64
Wagon,Small,Scion xB,2011," 217,535 ",1,13,60,51,21,82
Wagon,Small,Chevrolet Sonic,2012," 191,015 ",1,12,63,54,20,88
Wagon,Small,Kia Soul,2014," 123,895 ",2,10,81,82,24,140
Wagon,Midsize,Total,2011," 1,803,186 ",6,27,15,16,9,22
Wagon,Midsize,Subaru Outback 4WD,2011," 1,116,891 ",3,13,12,12,5,20
Wagon,Midsize,Volkswagen Jetta,2011," 249,277 ",1,5,20,20,0,41
Wagon,Midsize,Mazda 5,2012," 132,386 ",0,3,23,23,5,66
Wagon,Midsize,Toyota Prius v,2012," 245,905 ",2,6,24,29,2,56
Minivan,VLarge,Total,2011," 4,618,361 ",21,79,17,19,14,24
Minivan,VLarge,Honda Odyssey,2011," 1,155,445 ",3,7,6,8,1,15
Minivan,VLarge,Toyota Sienna 2WD,2011," 1,175,091 ",3,9,8,9,2,16
Minivan,VLarge,Toyota Sienna 4WD,2011," 194,536 ",1,2,10,10,1,37
Minivan,VLarge,Chrysler Town & Country,2011," 931,363 ",4,20,21,22,11,33
Minivan,VLarge,Dodge Grand Caravan,2011," 1,014,124 ",8,33,33,35,21,48
Minivan,VLarge,Nissan Quest,2011," 134,849 ",2,6,44,53,4,101
4WDSUV,Small,Total,2011," 3,475,210 ",14,77,22,22,16,28
4WDSUV,Small,Kia Sportage 4WD,2011," 158,604 ",1,2,13,13,2,46
4WDSUV,Small,Honda CR-V 4WD,2012," 1,047,803 ",3,14,13,14,6,22
4WDSUV,Small,Ford Escape 4WD,2013," 423,524 ",2,7,17,19,3,34
4WDSUV,Small,Jeep Compass 4WD,2011," 234,326 ",1,5,21,22,0,43
4WDSUV,Small,Toyota RAV4 4WD,2013," 402,072 ",2,10,25,25,7,43
4WDSUV,Small,Subaru Forester 4WD,2014," 134,402 ",0,5,37,28,3,53
4WDSUV,Small,Volkswagen Tiguan 4WD,2011," 127,539 ",0,5,39,30,3,56
4WDSUV,Small,Jeep Wrangler 2-door 4WD,2011," 452,036 ",1,19,42,35,18,51
4WDSUV,Small,Hyundai Tucson 4WD,2011," 155,813 ",2,5,32,41,0,82
4WDSUV,Midsize,Total,2011," 6,999,020 ",25,108,15,16,13,20
4WDSUV,Midsize,Jeep Cherokee 4WD,2014," 101,931 ",0,0,0,0,0,36
4WDSUV,Midsize,Ford Explorer 4WD,2011," 675,504 ",0,4,6,4,0,9
4WDSUV,Midsize,Toyota Venza 4WD,2011," 153,115 ",0,1,7,7,0,36
4WDSUV,Midsize,Nissan Pathfinder 4WD,2013," 136,701 ",0,1,7,7,0,41
4WDSUV,Midsize,Toyota 4runner4WD,2011," 342,568 ",0,3,9,9,2,26
4WDSUV,Midsize,Nissan Murano 4WD,2011," 300,485 ",1,3,10,10,2,29
4WDSUV,Midsize,Dodge Journey 4WD,2011," 151,962 ",0,2,13,13,2,48
4WDSUV,Midsize,Nissan Xterra 4WD,2011," 144,660 ",1,2,14,14,2,50
4WDSUV,Midsize,Honda Pilot 4WD,2011," 893,584 ",4,11,12,15,5,25
4WDSUV,Midsize,Jeep Grand Cherokee 4WD,2011," 1,120,459 ",3,18,16,16,7,24
4WDSUV,Midsize,Toyota FJ Cruiser 4WD,2011," 115,212 ",1,2,17,17,2,63
4WDSUV,Midsize,Mazda CX-9 4WD,2011," 148,505 ",1,3,20,20,4,59
4WDSUV,Midsize,Chevrolet Equinox 4WD,2011," 685,118 ",2,17,25,23,10,35
4WDSUV,Midsize,Ford Edge 4WD,2011," 460,562 ",4,8,17,24,5,43
